id,segment_num,rectime_start,activity,language,dur_min_bleed_merged
7355,1,44306,books,spanish,4.927733333
7373,3_2,8548,books,spanish,13.0683
7448,5,7434,books,spanish,1.149183333
7473,1_5,34976,books,spanish,15.8786
7480,1,20708,books,spanish,6.481316667
7550,1,17808,books,spanish,4.993283333
7574,1,2917,books,spanish,10.4276
7579,1,18684,books,spanish,7.1768
7580,1,39992,books,spanish,7.361866667
7692,1,3667,books,spanish,7.65075
7739,4_1_3,7164,books,spanish,23.08601667
7739,5,37773,books,spanish,8.40425
7791,2_1,21528,books,spanish,13.07585
7881,2,25395,books,spanish,3.659266667
7881,3,26295,books,spanish,5.388516667
7915,1,896,books,spanish,29.26116667
7915,3,13110,books,spanish,5.741966667
7949,4_1_3,11063,books,spanish,26.64631667
7949,6_2,29105,books,spanish,13.56306667
7949,5,30005,books,spanish,11.80738333
7995,1,13566,books,spanish,8.261883333
8022,7_1_3,4568,books,spanish,17.91045
8098,24,9023,books,spanish,3.130416667
8130,10,14406,books,spanish,16.37983333
8130,7,2340,books,spanish,4.118333333
8144,1,37537,books,spanish,8.19605
8144,2,18232,books,spanish,9.917066667
20003,12,11923,books,english,3.547466667
20003,15,31360,books,english,6.57485
20034,2,21499,books,english,4.712383333
20048,11,17,books,english,4.88525
20048,5,948,books,english,1.877783333
20050,1,4720,books,english,11.10801667
20050,2,30220,books,english,10.7463
20050,3,31120,books,english,6.689183333
20050,4,5620,books,english,7.300016667
20050,7,37720,books,english,6.840316667
20056,2,29376,books,english,10.09908333
20056,3,33276,books,english,17.5472
20056,4,9276,books,english,12.08833333
20056,7,51473,books,english,3.58955
20071,11_1,8208,books,english,13.04111667
20073,4,13818,books,english,3.039616667
20086,2_4,33622,books,english,14.8846
20114,13,9455,books,english,4.922566667
20114,1,40955,books,english,3.683833333
20127,7_1,1754,books,english,4.58605
20132,4_1,42453,books,english,14.20983333
20161,5_2,4729,books,english,7.620533333
20169,3,14696,books,english,8.629933333
20177,1_2,11474,books,english,14.5909
20177,6,29337,books,english,2.095166667
20190,1,15561,books,english,0.99345
20190,4,5162,books,english,3.991683333
20190,5,26832,books,english,7.243833333
20191,1,13376,books,english,4.229016667
20191,4,14276,books,english,1.568216667
20192,1,24018,books,english,5.486166667
20192,4,38390,books,english,3.456266667
20200,1,26030,books,english,7.6056
20200,2,6959,books,english,10.33916667
20204,7,10696,books,english,2.089166667
20227,2,6645,books,english,2.5624
20227,7,8725,books,english,1.128783333
20242,1_3,5097,books,english,10.41088333
20251,2,26614,books,english,7.333666667
20251,3,10665,books,english,8.418666667
